SOURCE DOMAIN,TARGET DOMAIN
stcl.edu,susqu.edu
utm.edu,mercer.peachnet.edu
wjc.edu,shu.edu
vancouver.wsu.edu,newhaven.edu
ksu.edu,alverno.edu
regent.edu,esu.edu
uncc.edu,cnu.edu
usouthal.edu,gatech.edu
muc.edu,csuohio.edu
ucla.edu,Dordt.edu
drew.edu,wcula.edu
presby.edu,bhsu.edu
uwstout.edu,lawrence.edu
uor.edu,gfc.edu
sjcme.edu,uophx.edu
wesleyan.edu,rice.edu
niu.edu,wesleyan.edu
ecu.edu,sunyit.edu
umkc.edu,ogi.edu
amercoastuniv.edu,smumn.edu
cornell.edu,wisc.edu
valdosta.peachnet.edu,westga.edu
jhu.edu,uthct.edu
liunet.edu,afit.af.mil
huntcol.edu,rmwc.edu
hesston.edu,phillips.edu
millsaps.edu,otterbein.edu
uww.edu,rockhurst.edu
psu.edu,uindy.edu
quinnipiac.edu,csp.edu
ecsu.ctstateu.edu,lamar.edu
uth.tmc.edu,usi.edu
augsburg.edu,uwsuper.edu
mcg.edu,sosc.osshe.edu
nl.edu,sbc.edu
ucsf.edu,gatech.edu
bucknell.edu,vill.edu
mssc.edu,slu.edu
fandm.edu,uca.edu
uor.edu,utsa.edu
nwciowa.edu,montclair.edu
vill.edu,dana.edu
westal.edu,bgsu.edu
smith.edu,seattleu.edu
hendrix.edu,uscolo.edu
ecu.edu,lemoyne.edu
wvu.edu,artic.edu
kent.edu,apsu.edu
umbc.edu,gac.peachnet.edu
uop.edu,niu.edu
gallaudet.edu,fsu.edu
hood.edu,wsc.colorado.edu
sxu.edu,uwstout.edu
usu.edu,creighton.edu
iit.edu,deltast.edu
swarthmore.edu,hamilton.edu
bethany.wvnet.edu,uofport.edu
sbuniv.edu,ju.edu
dsu.nodak.edu,lasalle.edu
selu.edu,ume.maine.edu
colby.edu,uofs.edu
aic.edu,uwf.edu
usc.edu,puc.edu
ltu.edu,stephens.edu
monmouth.edu,umassd.edu
csustan.edu,hastings.edu
columbia.edu,west.asu.edu
huntcol.edu,lclark.edu
tc.columbia.edu,uci.edu
bethany.wvnet.edu,hofstra.edu
lincoln.edu,fordham.edu
uhh.hawaii.edu,tulane.edu
ithaca.edu,gfc.edu
odc.edu,strayer.edu
lgc.peachnet.edu,pwu.com
owu.edu,hawaii.edu
uri.edu,carthage.edu
csufresno.edu,t-bird.edu
wm.edu,hws.edu
tarleton.edu,uwplatt.edu
fhsu.edu,wmc.edu
cwu.edu,emmanuel.edu
simmons.edu,isu.edu
highpoint.edu,fortlewis.edu
mc.edu,denison.edu
creighton.edu,potsdam.edu
jsu.edu,wcslc.edu
fplc.edu,Dordt.edu
wsc.colorado.edu,une.edu
crk.umn.edu,westmont.edu
nku.edu,iup.edu
wlsc.wvnet.edu,suu.edu
marymt.edu,une.edu
rochester.edu,phillips.edu
ithaca.edu,hastings.edu
bgsu.edu,cmc.edu
csufresno.edu,fau.edu
csustan.edu,hanover.edu
alma.edu,mcneese.edu
devrycols.edu,calstatela.edu
utk.edu,dana.edu
wtamu.edu,mckenna.edu
ltu.edu,okbu.edu
wfu.edu,uni.edu
sage.edu,fontbonne.edu
wcupa.edu,samford.edu
usm.maine.edu,stedwards.edu
assumption.edu,southwestern.edu
uwstout.edu,millikin.edu
hood.edu,scu.edu
carroll.edu,oakland.edu
benedictine.edu,wellesley.edu
fsu.edu,reed.edu
usafa.af.mil,uth.tmc.edu
swt.edu,stmarys-ca.edu
sunyit.edu,mursuky.edu
conncoll.edu,tesc.edu
umich.edu,uca.edu
shsu.edu,ucsd.edu
NCCU.edu,georgetown.edu
cornell-iowa.edu,newhaven.edu
ucsf.edu,muw.edu
amherst.edu,syr.edu
fordham.edu,ecu.edu
ysu.edu,ccsu.ctstateu.edu
pcci.edu,utsa.edu
bu.edu,usafa.af.mil
yu.edu,warren-wilson.edu
alma.edu,shc.edu
smcks.edu,calstatela.edu
sc.edu,uwplatt.edu
washcoll.edu,ucsc.edu
mcneese.edu,stmartin.edu
centenary.edu,tamiu.edu
poly.edu,uofs.edu
swarthmore.edu,stetson.edu
auburn.edu,temple.edu
taftu.edu,sunycentral.edu
wmich.edu,alverno.edu
apsu.edu,kumc.edu
uccs.edu,swac.edu
goucher.edu,syr.edu
nmt.edu,dowling.edu
peru.edu,cc.edu
taftu.edu,msoe.edu
coker.edu,psu.edu
duke.edu,mckenna.edu
bloomu.edu,udallas.edu
oakland.edu,uiowa.edu
bsc.edu,cuny.edu
augie.edu,georgian.edu
tsufl.edu,gvsu.edu
uvsc.edu,marymt.edu
ric.edu,csufresno.edu
uncc.edu,newhaven.edu
nmu.edu,oakland.edu
kent.edu,ncat.edu
muskingum.edu,mcneese.edu
utulsa.edu,muc.edu
wmwoods.edu,uakron.edu
utb.edu,csudh.edu
okstate.edu,barry.edu
upr.clu.edu,mc.edu
scwww.ctstateu.edu,wmwoods.edu
northeastern.edu,bgsp.edu
umt.edu,semo.edu
uh.edu,semo.edu
rhodes.edu,providence.edu
usm.maine.edu,yale.edu
morgan.edu,sju.edu
okbu.edu,bethel.edu
udel.edu,orst.edu
ysu.edu,curry.edu
mum.edu,tulane.edu
shsu.edu,wartburg.edu
umkc.edu,uakron.edu
fisk.edu,devry.edu
usf.edu,sct.edu
graceland.edu,uc.edu
wmc.edu,ohio-state.edu
clarku.edu,sxu.edu
champlain.edu,wcslc.edu
appstate.edu,bennington.edu
bennington.edu,dsu.edu
esu.edu,iusb.indiana.edu
wlu.edu,beaver.edu
cityu.edu,sjsu.edu
bsu.edu,liberty.edu
cc.colorado.edu,rosary.edu
auc.edu,northern.edu
uncc.edu,strayer.edu
usd.edu,skc.edu
sju.edu,uky.edu
lunet.edu,uwf.edu
rochester.edu,cup.edu
monm.edu,baldwinw.edu
lasalle.edu,tntech.edu
wartburg.edu,uwrf.edu
wuacc.edu,svsu.edu
taiu.edu,indwes.edu
wilkes.edu,brenau.edu
roanoke.edu,runet.edu
ncsu.edu,nsula.edu
uor.edu,nmt.edu
nadn.navy.mil,mu.edu
muw.edu,lsua.edu
millikin.edu,american.edu
trincoll.edu,uh.edu
nadn.navy.mil,messiah.edu
huntcol.edu,ollusa.edu
sdsu.edu,bard.edu
cuny.edu,udc.edu
ugf.edu,artic.edu
ukans.edu,wcupa.edu
tsu.edu,chesapeake.edu
lynchburg.edu,wells.edu
scwww.ctstateu.edu,unl.edu
afit.af.mil,adelphi.edu
metro.msus.edu,mscfs.edu
cmich.edu,gannon.edu
niu.edu,suu.edu
cuis.edu,uwsp.edu
juniata.edu,isu.edu
uchicago.edu,otterbein.edu
luther.edu,mwsu.edu
loyola.edu,elon.edu
aquinas.edu,bcm.tmc.edu
enmu.edu,mcg.edu
bcm.tmc.edu,csus.edu
uscolo.edu,uophx.edu
strose.edu,fandm.edu
uwsp.edu,nnc.edu
lewisu.edu,uwstout.edu
uth.tmc.edu,nhc.edu
uofport.edu,artic.edu
ceu.edu,monterey.edu
su.edu,cityu.edu
mcrest.edu,tulane.edu
saintjoe.edu,cmc.edu
mu.edu,oakland.edu
colsouth.edu,gvsu.edu
manc.edu,centenary.edu
sshechan.edu,middlebury.edu
metro.msus.edu,smcks.edu
tju.edu,yale.edu
wesley.edu,ufl.edu
sunysb.edu,sosc.osshe.edu
sdsu.edu,lycoming.edu
bridgeport.edu,ltu.edu
arizona.edu,gsw.peachnet.edu
meredith.edu,aamu.edu
asu.edu,nlu.edu
smcks.edu,ceu.edu
taftu.edu,wiu.edu
uscolo.edu,lclark.edu
uky.edu,uakron.edu
unr.edu,sapc.edu
jones.edu,warren-wilson.edu
trinity.edu,plu.edu
stlawu.edu,lacollege.edu
vic.edu,wmich.edu
tusk.edu,bentley.edu
bethelks.edu,cua.edu
ncat.edu,northern.edu
wwu.edu,wofford.edu
utdallas.edu,augustana.edu
duke.edu,sbc.edu
rider.edu,messiah.edu
kumc.edu,wisc.edu
csuchico.edu,uwsa.edu
farmingdale.edu,georgian.edu
isu.edu,wcupa.edu
peru.edu,gasou.edu
baldwinw.edu,wmwoods.edu
semo.edu,cup.edu
tusk.edu,taiu.edu
usi.edu,mu.edu
wsc.colorado.edu,ecsu.ctstateu.edu
cobleskill.edu,dne.wvnet.edu
cornell.edu,colby.edu
grace.edu,barry.edu
amercoastuniv.edu,awc.cc.az.us
uor.edu,sjca.edu
carthage.edu,umassd.edu
wku.edu,nich.edu
gsw.peachnet.edu,providence.edu
su.edu,mckenna.edu
transy.edu,fgcu.edu
simmons.edu,sxu.edu
yale.edu,uoregon.edu
uta.edu,etsu.edu
gac.edu,wwc.edu
oxy.edu,mwc.edu
ggu.edu,tamiu.edu
naz.edu,lsua.edu
cnuas.edu,uncg.edu
usfca.edu,uofs.edu
averett.edu,norwich.edu
aic.edu,luc.edu
latech.edu,presby.edu
westmont.edu,slu.edu
nasc.mass.edu,bridgeport.edu
smu.edu,uidaho.edu
armstrong.edu,bsu.edu
sjcme.edu,mc.edu
gonzaga.edu,lynchburg.edu
strayer.edu,whitman.edu
hillsdale.edu,hsc.edu
uww.edu,sdsmt.edu
liberty.edu,sosc.osshe.edu
hollins.edu,cityu.edu
uccs.edu,udayton.edu
assumption.edu,indtech.edu
vanderbilt.edu,iusb.indiana.edu
wmc.edu,scwww.ctstateu.edu
stevens-tech.edu,hamilton.edu
etsu-tn.edu,gallaudet.edu
uri.edu,tntech.edu
fielding.edu,bcm.tmc.edu
wmich.edu,cwu.edu
unomaha.edu,csuchico.edu
mwc.edu,norwich.edu
wsu.edu,ohiou.edu
amherst.edu,emory.edu
uh.edu,elon.edu
umassp.edu,eku.edu
luthersem.edu,holycross.edu
summitunivofla.edu,tusk.edu
howard.edu,yale.edu
lacollege.edu,drury.edu
iup.edu,uams.edu
utsystem.edu,cheyney.edu
towson.edu,pratt.edu
miami.edu,ewu.edu
biola.edu,tju.edu
acu.edu,callutheran.edu
wjc.edu,uwsa.edu
oxy.edu,jones.edu
utoledo.edu,elmhurst.edu
depaul.edu,stcl.edu
upenn.edu,ucsc.edu
umf.maine.edu,calstate.edu
creighton.edu,urich.edu
mwsc.edu,williams.edu
uwp.edu,cnuas.edu
bennington.edu,ogi.edu
phillips.edu,msmc.edu
arbor.edu,rice.edu
sjcsf.edu,uwm.edu
mankato.msus.edu,udallas.edu
ferris.edu,usouthal.edu
csbsju.edu,ume.maine.edu
seattleu.edu,messiah.edu
peru.edu,wustl.edu
greenleaf.edu,csus.edu
millsaps.edu,uog.edu
wcula.edu,whitworth.edu
csusm.edu,wwc.edu
ycp.edu,lsc.vsc.edu
thecoo.edu,udallas.edu
csc.vsc.edu,fit.edu
cameron.edu,uah.edu
nwmissouri.edu,cuc.edu
highpoint.edu,uml.edu
ncat.edu,whittier.edu
emory.edu,artic.edu
cts.edu,bhsu.edu
afit.af.mil,colorado.edu
wmpenn.edu,stockton.edu
swt.edu,wsu.edu
lfc.edu,cooper.edu
mnsfld.edu,ohiou.edu
famu.edu,wilpaterson.edu
newpaltz.edu,iusb.indiana.edu
wilberforce.edu,uwec.edu
hunter.cuny.edu,dillard.edu
washcoll.edu,northern.edu
wnmu.edu,llu.edu
ohiou.edu,mtholyoke.edu
uww.edu,seattleantioch.edu
central.edu,bentley.edu
gbc.edu,presby.edu
oxy.edu,eosc.osshe.edu
stolaf.edu,sl.psu.edu
bradley.edu,barry.edu
coppin.umd.edu,fplc.edu
rockhurst.edu,marion.ohio-state.edu
iit.edu,devry.edu
ursinus.edu,wsc.mass.edu
marymt.edu,tulane.edu
lwc.edu,wm.edu
yu.edu,calstatela.edu
apu.edu,vwc.edu
ecok.edu,pitt.edu
bluffton.edu,uamont.edu
roanoke.edu,knox.edu
campbell.edu,unl.edu
mscd.edu,niu.edu
dartmouth.edu,cmc.edu
cuc.edu,wcsu.ctstateu.edu
cnu.edu,jbu.edu
presby.edu,friends.edu
esu.edu,trenton.edu
uwec.edu,uc.edu
elmhurst.edu,fredonia.edu
wabash.edu,uidaho.edu
wcslc.edu,coe.edu
msmc.edu,wit.edu
brown.edu,ccaa.edu
bethany.wvnet.edu,uiu.edu
unm.edu,csuohio.edu
champlain.edu,dbq.edu
npcts.edu,dsu.nodak.edu
uchaswv.edu,lsc.vsc.edu
olemiss.edu,bsu.edu
cwru.edu,widener.edu
eosc.osshe.edu,cup.edu
stkate.edu,ucsd.edu
sunyit.edu,babson.edu
lhup.edu,hsc.colorado.edu
xula.edu,metro.inter.edu
ufl.edu,hope.edu
astate.edu,fairmont.wvnet.edu
fau.edu,fiu.edu
antiochne.edu,baldwinw.edu
eku.edu,uwosh.edu
rider.edu,oberlin.edu
buffalo.edu,huntingdon.edu
vt.edu,etsu-tn.edu
etown.edu,middlebury.edu
wilmington.edu,skc.edu
eosc.osshe.edu,lclark.edu
emu.edu,bc.edu
usi.edu,wjc.edu
vic.edu,suu.edu
seattleantioch.edu,ltu.edu
rochester.edu,union.edu
fau.edu,cuny.edu
nu.edu,uakron.edu
stthom.edu,uc.edu
drake.edu,clarion.edu
depaul.edu,sshechan.edu
amherst.edu,westminster.edu
strayer.edu,umassd.edu
twsu.edu,slc.edu
williams.edu,rockford.edu
d.umn.edu,usouthal.edu
presby.edu,lemoyne.edu
etown.edu,ucsf.edu
waldenu.edu,gsu.edu
bethany.wvnet.edu,jtsa.edu
american.edu,mum.edu
norwich.edu,utep.edu
emory.edu,ecu.edu
dartmouth.edu,hope.edu
citadel.edu,ltu.edu
calvin.edu,puc.edu
cc.colorado.edu,smcvt.edu
winona.msus.edu,ramapo.edu
hanover.edu,wooster.edu
uab.edu,jc.edu
csp.edu,wiu.edu
dartmouth.edu,snybuf.edu
mursuky.edu,central.edu
csun.edu,fordham.edu
scarolina.edu,highpoint.edu
wcslc.edu,cmich.edu
byu.edu,ju.edu
gmu.edu,beaver.edu
ollusa.edu,orst.edu
uchaswv.edu,dbq.edu
sbuniv.edu,uconn.edu
berea.edu,biola.edu
lssu.edu,cua.edu
wlsc.wvnet.edu,belmont.edu
evergreen.edu,skc.edu
elmhurst.edu,gfc.edu
uindy.edu,monm.edu
tucsonu.edu,ukans.edu
ucdavis.edu,metro.inter.edu
umf.maine.edu,uwm.edu
niu.edu,sangamon.edu
stlawu.edu,wlsc.wvnet.edu
utm.edu,bowdoin.edu
quincy.edu,npcts.edu
cup.edu,wooster.edu
sjcsf.edu,rmc.edu
svsu.edu,mtech.edu
whitworth.edu,ju.edu
dominican.edu,gonzaga.edu
baldwinw.edu,cmc.edu
fairmont.wvnet.edu,alverno.edu
reed.edu,rockefeller.edu
wustl.edu,coastal.edu
mbc.edu,cortland.edu
twsu.edu,biola.edu
plymouth.edu,wmc.edu
suu.edu,otterbein.edu
baldwinw.edu,juniata.edu
ksu.edu,csudh.edu
bethany.edu,pomona.edu
muw.edu,centre.edu
marion.ohio-state.edu,uwgb.edu
uiowa.edu,otterbein.edu
csc.vsc.edu,ucsf.edu
isu.edu,baldwinw.edu
lmu.edu,ukans.edu
clarke.edu,mercer.peachnet.edu
jmu.edu,unc.edu
vic.edu,rocky.edu
regis.edu,sdsmt.edu
uri.edu,alfred.edu
hsc.edu,juniata.edu
lsua.edu,mrs.umn.edu
depauw.edu,fau.edu
westminster.edu,wofford.edu
ohsu.edu,ua.edu
apsu.edu,aurora.edu
towson.edu,sunycentral.edu
ua.edu,unh.edu
rose-hulman.edu,tarleton.edu
csubak.edu,pratt.edu
mc.edu,wittenberg.edu
stkate.edu,rowan.edu
stetson.edu,utm.edu
dsu.edu,artic.edu
swarthmore.edu,alfredtech.edu
fisk.edu,potsdam.edu
uofport.edu,allencol.edu
indiana.edu,uhh.hawaii.edu
lasalle.edu,wcslc.edu
cnu.edu,uaa.alaska.edu
ssu.umd.edu,nmhu.edu
upenn.edu,tamucc.edu
wsc.colorado.edu,unc.edu
cooper.edu,mc.edu
uccs.edu,idbsu.edu
shorter.edu,phillips.edu
ncwc.edu,ramapo.edu
uwp.edu,furman.edu
csubak.edu,lacollege.edu
uconn.edu,snybuf.edu
wsu.edu,apu.edu
uky.edu,lycoming.edu
bethany.wvnet.edu,tamiu.edu
isu.edu,wvu.edu
tucsonu.edu,usf.edu
stevens-tech.edu,dowling.edu
cuis.edu,lsua.edu
wellesley.edu,american.edu
nmsu.edu,dne.wvnet.edu
wsc.colorado.edu,sjsu.edu
northeastern.edu,ucsc.edu
websteruniv.edu,umsl.edu
mcad.edu,clarku.edu
pacificu.edu,nhc.edu
montana.edu,eosc.osshe.edu
wcu.edu,taiu.edu
alma.edu,luc.edu
stcloud.msus.edu,heidelberg.edu
ibc.edu,creighton.edu
iup.edu,georgian.edu
simmons.edu,apu.edu
bethelks.edu,etown.edu
daemen.edu,Dordt.edu
uww.edu,ipfw.indiana.edu
ohsu.edu,clarku.edu
mscfs.edu,wittenberg.edu
bcm.tmc.edu,northern.edu
sunyit.edu,jbu.edu
rhodes.edu,calpoly.edu
wilkes.edu,shc.edu
bible.edu,cmu.edu
fsu.edu,wsc.mass.edu
nwmissouri.edu,lacollege.edu
yale.edu,csuchico.edu
aic.edu,brockport.edu
vanderbilt.edu,uvsc.edu
luthersem.edu,wmc.car.md.us
sju.edu,colorado.edu
eosc.osshe.edu,slc.edu
colby.edu,monm.edu
ccsn.edu,uchicago.edu
sulross.edu,wayne.edu
upr.clu.edu,geneseo.edu
hood.edu,centre.edu
uwstout.edu,nich.edu
lynchburg.edu,trincoll.edu
calvin.edu,fau.edu
sangamon.edu,fplc.edu
csudh.edu,mtsu.edu
misu.nodak.edu,tabor.edu
une.edu,uog.edu
uwm.edu,cedarville.edu
mckenna.edu,sage.edu
gbc.edu,drake.edu
coastal.edu,csuhayward.edu
odc.edu,newhaven.edu
kwu.edu,buffalo.edu
nmhu.edu,umassd.edu
enmu.edu,csopp.edu
clarion.edu,northern.edu
stu.edu,rice.edu
quincy.edu,famu.edu
angelo.edu,seattleantioch.edu
usf.edu,oakland.edu
syr.edu,iona.edu
fdu.edu,reed.edu
valpo.edu,wmc.edu
wmitchell.edu,deltast.edu
uta.edu,simpson.edu
tufts.edu,chesapeake.edu
stkate.edu,uca.edu
wilkes.edu,usd.edu
ncwc.edu,rollins.edu
aurora.edu,devry.edu
messiah.edu,gonzaga.edu
mcm.acu.edu,northern.edu
northeastern.edu,mursuky.edu
wmc.edu,umsl.edu
uncc.edu,lvc.edu
fhsu.edu,urich.edu
uci.edu,duq.edu
carroll.edu,pvamu.edu
marlboro.edu,sage.edu
umass.edu,uccs.edu
uaa.alaska.edu,utulsa.edu
gfc.edu,mercy.edu
brown.edu,ysu.edu
fsufay.edu,seattleantioch.edu
anselm.edu,stfrancis.edu
devrycols.edu,wvu.edu
ulaverne.edu,pacificu.edu
indtech.edu,depauw.edu
emu.edu,nhc.edu
colostate.edu,acusd.edu
geneseo.edu,stetson.edu
idbsu.edu,scu.edu
mercer.peachnet.edu,uvm.edu
ju.edu,philacol.edu
umassp.edu,uidaho.edu
twu.edu,stlcop.edu
gsu.edu,kean.edu
usma.edu,t-bird.edu
knox.edu,conncoll.edu
umassd.edu,msjnet.edu
